timestamp	drink	caffeine_mg
2025-12-26T06:00:00	red bull	80
2025-12-26T06:15:00	red bull	80
2025-12-26T08:00:00	red bull	80
2025-12-26T10:00:00	red bull	80
2025-12-26T12:30:00	pepsi max	69
2025-12-26T15:30:00	red bull	80
2025-12-26T19:00:00	red bull	80
2025-12-26T21:00:00	pepsi max	69
2025-12-27T07:00:00	red bull	80
2025-12-27T07:15:00	red bull	80
2025-12-27T11:00:00	red bull	80
2025-12-27T12:00:00	fruki	30
2025-12-27T13:00:00	pepsi max	69
2025-12-27T14:57:05	red bull	80
2025-12-27T17:38:47	baly 473ml	114
2025-12-27T20:11:53	pepsi max	69
2025-12-28T06:33:49	red bull zero	80	0
2025-12-28T07:18:52	red bull zero	80	0
2025-12-28T10:19:56	red bull zero	80	0
2025-12-28T13:01:17	pepsi max	69	0
2025-12-28T15:26:23	red bull	80	27
2025-12-28T19:58:12	baly 473ml	114	51
2025-12-29T06:25:14	baly 473ml	114	51
2025-12-29T08:14:56	red bull	80	27
2025-12-29T11:00:28	fruki zero	30	0
2025-12-29T14:21:31	pepsi max	69	0
2025-12-29T18:23:25	red bull	80	27
2025-12-29T20:15:17	fruki zero	30	0
2025-12-29T20:50:19	red bull	80	27
2025-12-30T06:53:27	baly 473ml	114	51
2025-12-30T11:31:20	red bull zero	80	0
